BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,2 E 55th St Unit 803,"New York, NY 10022",New York,Manhattan,East 55th Street
Brokered by Serhant,Condo for sale,195000000,7,10,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019",New York,New York County,New York
Brokered by Sowae Corp,House for sale,260000,4,2,620 Sinclair Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,69000,3,1,2 E 55th St Unit 908W33,"Manhattan, NY 10022",New York,New York County,New York
Brokered by Sowae Corp,House for sale,690000,5,2,584 Park Pl,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,157 W 126th St Unit 1B,"New York, NY 10027",New York County,New York,Manhattan
Brokered by Connie Profaci Realty,House for sale,16800000,8,16,177 Benedict Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1,875 Morrison Ave Apt 3M,"Bronx, NY 10473",The Bronx,East Bronx,Morrison Avenue
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,800 Grand Concourse Apt 2JS,"Bronx, NY 10451",Bronx County,The Bronx,Concourse Village
Brokered by COMPASS,Co-op for sale,259000,3,1,34-41 85th St Unit 1D,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373",Queens County,Queens,Elmhurst
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,61 Jane St Apt 6N,"New York, NY 10014",New York County,New York,Manhattan
Brokered by Awaye Realty,Condo for sale,549000,2,2,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312",Richmond County,Staten Island,Annadale
Brokered by Realty Executives Today,Townhouse for sale,975000,3,2,28-31 Hobart St,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1,5800 Arlington Ave Apt 21A,"Bronx, NY 10471",Bronx County,The Bronx,North Riverdale
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374",Queens County,Queens,Rego Park
Brokered by Radiant Estates LLC,House for sale,639999,3,2,27 Clove Way,"Staten Island, NY 10301",New York,Richmond County,Staten Island
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2,10724 71st Rd Apt 9F,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Martino Realty Group,Condo for sale,349900,1,1,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304",Richmond County,Staten Island,Dongan Hills
Brokered by Elizabeth Marra,House for sale,750000,2,2,280 Loretto St,"Staten Island, NY 10307",New York,Richmond County,Staten Island
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4,149-07 85 Rd,"Briarwood, NY 11435",New York,Queens County,Queens
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1,35-45 81st St Unit E1,"Queens, NY 11372",Queens County,Queens,Jackson Heights
Brokered by Du Chris Realty,Co-op for sale,230000,1,1,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372",New York,Queens County,Queens
Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6,310-312 Hillside Ave,"Staten Island, NY 10304",Richmond County,Staten Island,Clifton
NoBroker,Multi-family home for sale,925000,5,2,543 Hollywood Ave,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2,47 Lynn Ct,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8,366 Union Ave Unit 4,"Staten Island, NY 10303",Richmond County,Staten Island,Mariners Harbor
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4,544 Hinsdale St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Ashford Homes LLC,Condo for sale,528000,1,1,1238 63rd St Unit 432,"Brooklyn, NY 11219",Kings County,Brooklyn,Dyker Heights
Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4,310-312 Hillside Ave,"Staten Island, NY 10304",Richmond County,Staten Island,Clifton
Brokered by E Realty International Corp,Co-op for sale,275000,1,1,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1,338 Berry St Apt 4E,"Brooklyn, NY 11249",Kings County,Brooklyn,Williamsburg
Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5,10 Simon Ct,"Staten Island, NY 10307",New York,Richmond County,Staten Island
Brokered by Exp Realty,Multi-family home for sale,700000,6,2,229 W Tremont Ave Unit A,"Bronx, NY 10453",New York,Bronx County,The Bronx
Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4,2226 63rd St,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by E Realty International Corp,Multi-family home for sale,1280000,7,5,86-05 91st Ave,"Woodhaven, NY 11421",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1,828 Gerard Ave Apt 5F,"Bronx, NY 10451",Bronx County,The Bronx,Concourse
Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1,43-40 Union St Unit 3D,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3,111-31 141st St,"Jamaica, NY 11435",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2,123 Prince St Unit 1,"Manhattan, NY 10012",New York County,New York,Manhattan
Brokered by Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2,32-39 Jordan St,"Flushing, NY 11358",New York,Queens County,Queens
Brokered by American Homes Group,Condo for sale,329000,2,1,55 Austin Pl Apt 4L,"Staten Island, NY 10304",Richmond County,Staten Island,Mid Island
Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2,17 S Greenleaf Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by First Class Homes Inc,Multi-family home for sale,769000,2,2,101-55 112th St,"Richmond Hill South, NY 11419",New York,Queens County,Queens
Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2,66 Bay 22nd St,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by VYLLA HOME,Co-op for sale,220500,2,1,350 Richmond Ter Apt 3M,"Staten Island, NY 10301",Richmond County,Staten Island,Mid Island
Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3,259 80th St,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,3250000,2,2,240 Centre St Unit 2M,"New York, NY 10013",New York,Manhattan,Centre Street
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2,473 Hicks St Apt 4,"Brooklyn, NY 11231",Kings County,Brooklyn,Cobble Hill
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4,342 Manhattan St,"Staten Island, NY 10307",New York,Richmond County,Staten Island
Brokered by American Homes Group,House for sale,998800,3,4,1191 Clove Rd,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by American Homes Group,House for sale,998800,3,4,Waldron Ave,"Staten Island, NY 10301",United States,New York,Richmond County
Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217",Kings County,Brooklyn,Park Slope
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1,263 W End Ave Apt 14C,"Manhattan, NY 10023",New York County,New York,Manhattan
Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1,333 E 66th St Apt 8E,"New York, NY 10065",New York County,New York,Manhattan
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2,150 Rivington St Apt 3G,"New York, NY 10002",New York County,New York,Manhattan
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218",Kings County,Brooklyn,Flatbush
Brokered by COMPASS,Condo for sale,1395000,2,2,737 Bergen St Apt 1B,"Brooklyn, NY 11238",Kings County,Brooklyn,Prospect Heights
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421",Queens County,Queens,Woodhaven
Brokered by Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,35 Center Pl,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Serhant,Condo for sale,1595000,3,3,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237",New York,Kings County,Brooklyn
Brokered by Serhant,Condo for sale,1175000,2,2,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221",Kings County,Brooklyn,Bedford-Stuyvesant
Brokered by Momentum Real Estate LLC,Multi-family home for sale,798000,3,4,425 Father Capodanno Blvd,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4,111 W 57th St # 50,"New York, NY 10019",New York County,New York,Manhattan
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2,24149 148th Dr,"Rosedale, NY 11422",New York,Queens County,Queens
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,200 E 94th St Apt 414,"New York, NY 10128",New York County,New York,Manhattan
Brokered by COMPASS,Townhouse for sale,12950000,5,4,214 W 11th St,"Manhattan, NY 10014",New York,New York County,New York
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2,250 E 21st St Unit 12B,"Manhattan, NY 10010",New York County,New York,Manhattan
Brokered by Sowae Corp,Multi-family home for sale,250000,5,2,130-24 150th St,"Jamaica, NY 11436",New York,Queens County,Queens
Brokered by Keller Williams Realty Empire,House for sale,585000,3,2,192 Colfax Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6,8200 Narrows Ave,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1,1509 E 48th St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Engel & Volkers Brownstone Brooklyn,Condo for sale,215000,1,1,195 Prince St Unit 1LL,"New York, NY 10012",New York County,New York,Manhattan
Built by Toll Brothers,For sale,950000,1,1,The Rockwell # 3A,"New York, NY 10025",New York,New York County,New York
Brokered by Sowae Corp,House for sale,314000,3,1,850 E 39th St,"Brooklyn, NY 11210",New York,Kings County,Brooklyn
Brokered by Brown Harris Stevens,Condo for sale,395000,5,1,110 E 71st St Unit Medical,"Manhattan, NY 10021",New York,New York County,New York
Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2,1406 Mac Donough Pl,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by EXP Realty,Multi-family home for sale,790000,6,3,78 Mountainview Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000,4,2,2501 Palisade Ave Apt H2,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by Sowae Corp,House for sale,245000,3,1,2942 Lurting Ave,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by Americas Real Estate Advisors,House for sale,400000,7,3,340 E 234th St,"Bronx, NY 10470",New York,Bronx County,The Bronx
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,25 Riverside Dr,"New York, NY 10023",New York,New York County,New York
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1,8015 6th Ave Apt A1,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Top Choice Realty LLC,House for sale,899000,3,2,40 Adelphi Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Built by Toll Brothers,For sale,2280000,2,2,The Rockwell # 6E,"New York, NY 10025",New York,New York County,New York
Brokered by Cross Country Realty,Coming Soon,649000,4,3,194 Carroll St,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4,38 Dare Ct,"Brooklyn, NY 11229",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2,591 4th St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Avenues - Headquarters,Condo for sale,325000,2,1,122 E 102nd St Apt 5B,"New York, NY 10029",New York County,New York,Manhattan
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1,215 W 75th St Apt 4D,"New York, NY 10023",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5,327 Convent Ave,"New York, NY 10031",New York,New York County,New York
Brokered by Compass Realty Central Inc.,House for sale,694000,3,3,364 Armstrong Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2,761 S Oak Dr,"Bronx, NY 10467",New York,Bronx County,The Bronx
Brokered by Sowae Corp,House for sale,400000,4,2,781 Sheperd Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,103-12 104th St,"Ozone Park, NY 11417",New York,Queens County,Queens
Brokered by Sowae Corp,House for sale,265000,3,1,135-38 224th St,"Springfield Gardens, NY 11413",New York,Queens County,Queens
Brokered by Winzone Realty Inc,House for sale,319000,3,2,57 Neutral Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Corcoran East Side,Townhouse for sale,24800000,6,8,45 E 74th St,"New York, NY 10021",New York,New York County,New York
Brokered by Exp Realty,House for sale,1100000,9,4,421 W 154th St,"New York, NY 10032",New York,New York County,New York
Brokered by Sowae Corp,Multi-family home for sale,309000,6,2,2918 Brookhaven Ave,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Keller Williams Realty Liberty,House for sale,650000,3,2,237-14 93rd Rd,"Bellerose, NY 11426",New York,Queens County,Queens
Brokered by Rise Realty,House for sale,799000,4,2,604 Lamont Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2,7E Edgewater Park Unit E,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by DiTommaso Real Estate,House for sale,1195000,4,4,52 Indale Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by Serhant,Condo for sale,17500000,5,6,37 Warren St Unit Phcd,"New York, NY 10007",New York,New York County,New York
Brokered by Salmon Realty Group,Condo for sale,189000,2,2,20 Cliff St Apt 6D,"Staten Island, NY 10305",Richmond County,Staten Island,Shore Acres
Brokered by Midas Realty,Condo for sale,759000,3,2,206-04 Emily Rd Unit 37M,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by ONLY NINE REALTY LLC,House for sale,275000,4,1,579 E 29th St,"Brooklyn, NY 11210",New York,Kings County,Brooklyn
Brokered by COMPASS,Condo for sale,499000,1,1,157 E 72nd St Apt 8I,"Manhattan, NY 10021",New York County,New York,Manhattan
Brokered by Utopia Real Estate,Co-op for sale,69900,2,1,61 Edgewater Park Unit B,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Rock Realty Inc,Multi-family home for sale,1150000,12,6,32-40 48 St,"Astoria, NY 11103",New York,Queens County,Queens
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,517 W 142nd St,"New York, NY 10031",New York,New York County,New York
Brokered by Charles H. Greenthal Property,Co-op for sale,1399000,3,4,269-10 Grand Central Pkwy Unit 21W,"Floral Park, NY 11005",Queens County,Queens,Glen Oaks
Brokered by Douglas Elliman - Roslyn,Condo for sale,649000,3,2,163-04 71st Ave Unit 122,"Fresh Meadows, NY 11365",Queens County,Queens,Fresh Meadows
Brokered by WW Realty Group Inc,House for sale,499000,5,2,2774 Marion Ave,"Bronx, NY 10458",New York,Bronx County,The Bronx
Brokered by Julia B. Fee Sotheby's International Realty,Multi-family home for sale,1050000,5,4,2818 Miles Ave,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by COMPASS,Townhouse for sale,5000000,10,9,137 W 80th St,"Manhattan, NY 10024",New York,New York County,New York
Brokered by HOT HOMES REALTY LLC.,Pending,90000,1,1,16 Mapleton Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10,9 W 54th St,"New York, NY 10019",New York,New York County,New York
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,500000,4,3,251 W 89th St Apt 6E,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Real Estate Property Group LLC,House for sale,350000,2,1,750 Patterson Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Corcoran Park Slope,House for sale,1099000,4,2,204-34 9th Ave,"Queens, NY 11697",New York,Queens County,Queens
Brokered by RE MAX Boutique Realty,Co-op for sale,90000,1,1,1383 Plimpton Ave Apt 1C,"Bronx, NY 10452",Bronx County,The Bronx,Highbridge
Brokered by Laffey Real Estate,House for sale,839000,4,2,158-35 87th St,"Howard Beach, NY 11414",New York,Queens County,Queens
Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3,148-05 111th Ave,"Jamaica, NY 11435",New York,Queens County,Queens
Brokered by Anthony Napolitano Homes,House for sale,399999,3,1,178 Beach 24th St,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Homefinders of SI Inc.,Condo for sale,250000,3,1,3105 Avenue V Apt 1F,"Brooklyn, NY 11229",Kings County,Brooklyn,Sheepshead Bay
Built by Toll Brothers,For sale,1740000,2,2,The Rockwell # 6H,"New York, NY 10025",New York,New York County,New York
Brokered by Epiphany Realty Llc,House for sale,650000,4,2,115115 220th St,"Cambria Heights, NY 11411",New York,Queens County,Queens
Brokered by Re/Max Edge,House for sale,1165000,3,4,67 Dexter Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,729900,3,2,447 Vernon Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by Winzone Realty Inc,House for sale,1880000,3,4,3758 Bayview Ave,"Brooklyn, NY 11224",New York,Kings County,Brooklyn
Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005",Queens County,Queens,Glen Oaks
Brokered by Keller Williams City Views,House for sale,1175000,3,2,251 Beach 140th St,"Rockaway Park, NY 11694",New York,Queens County,Queens
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2,16 Gay St,"New York, NY 10014",New York,New York County,New York
Brokered by Hauseit LLC,House for sale,995000,3,2,159-03 83rd St,"Howard Beach, NY 11414",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,2000000,3,2,200 Rector Pl Unit 27EF,"Manhattan, NY 10280",New York,Manhattan,Rector Place
Brokered by Leven Real Estate - Head Office,Townhouse for sale,15000000,8,6,126 Pierrepont St,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by RE MAX Edge,House for sale,2800000,4,6,25 Copperleaf Ter,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Keller Williams Rlty Landmark,House for sale,2600000,5,4,214-42 27th Ave,"Bayside, NY 11360",New York,Queens County,Queens
Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6,51 Hamilton Ter,"New York, NY 10031",New York,New York County,New York
Brokered by Corcoran East Side,Co-op for sale,550000,1,1,609 Columbus Ave Apt 10I,"New York, NY 10024",New York County,New York,Manhattan
Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4,290 Lake Ave,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2,2519 Mill Ave,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Gateway Arms Realty Corp.,House for sale,879000,4,2,48 Princewood Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,918888,3,2,30-36 88th St,"East Elmhurst, NY 11369",New York,Queens County,Queens
Brokered by COMPASS,Townhouse for sale,2400000,4,2,396 A 9th St Unit 2,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Sowae Corp,Multi-family home for sale,425000,5,2,755 Coster St,"Bronx, NY 10474",New York,Bronx County,The Bronx
Brokered by RE MAX Elite,House for sale,998000,4,4,336 Bethel Ave,"Staten Island, NY 10307",New York,Richmond County,Staten Island
Brokered by Coldwell Banker Advantage,House for sale,1195000,4,4,222 Hart Blvd,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by RE MAX Real Estate Professionals,House for sale,1649000,3,2,1217 84th St,"Brooklyn, NY 11228",New York,Kings County,Brooklyn
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,955000,4,4,82 Vineland Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3,117-37 141st St,"Jamaica, NY 11436",New York,Queens County,Queens
Brokered by Keller Williams Rlty Landmark,House for sale,880000,3,2,190-16 33rd Ave,"Flushing, NY 11358",New York,Queens County,Queens
"Brokered by Tom Crimmins Realty, Ltd.",Contingent,899999,3,2,61 Prescott Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by J Milo Real Estate,Condo for sale,198000,1,1,118-18 Union Tpke Unit 7D,"Queens, NY 11415",Queens County,Queens,Kew Gardens
Brokered by Howard Hanna | Rand Realty,House for sale,549000,5,3,2808 Wickham Ave,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by RE MAX Elite,House for sale,1088888,3,4,1568 W 2nd St,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by CAROZZA NICHOLAS M,House for sale,888000,4,2,3079 Giegerich Pl,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by All American Realty Management,For sale,65000,3,1,1287266 45 Madison St Unit 1,"Manhattan, NY 10038",New York County,New York,Manhattan
Brokered by Real Broker NY LLC,House for sale,1449999,3,2,21-89 47th St,"Long Island City, NY 11105",New York,Queens County,Queens
Brokered by Serhant,Townhouse for sale,14900000,5,5,45 W 70th St,"New York, NY 10023",New York,New York County,New York
Brokered by Flateau Realty Corp,Coming Soon,1695000,5,2,871 Putnam Ave,"Ny, NY 11221",New York,Kings County,Brooklyn
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,1970000,4,4,59 Duffield St,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,1895000,2,2,905 Union St Apt 1,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Martino Realty Group,House for sale,649999,3,2,219 Slater Blvd,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by EXP Realty,House for sale,669000,3,2,74 Holly St,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Corcoran Westside Columbus,House for sale,800000,3,2,1485 E 53rd St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,2375000,1,2,10 Bleecker St Apt 5D,"Manhattan, NY 10012",New York County,New York,Manhattan
Brokered by Corcoran West Side Gallery,For sale,2400000,6,6,726 Nostrand Ave,"Brooklyn, NY 11216",New York,Kings County,Brooklyn
Brokered by eXp Realty BKNY,House for sale,390000,2,1,231 Freeborn St,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,2250000,1,1,302 W 12th St Apt 7F,"Manhattan, NY 10014",New York County,New York,Manhattan
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2,627 Wilson Ave Apt 3,"Brooklyn, NY 11207",Kings County,Brooklyn,Bushwick
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,269000,1,1,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471",Bronx County,The Bronx,Hudson Hill
Brokered by COMPASS,Co-op for sale,695000,2,2,575 Park Ave Unit 1101,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by Winzone Realty Inc,House for sale,1300000,3,2,246 Newman Ave,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by Ilite Realty Inc,Co-op for sale,459000,3,2,2475 W 16th St Apt 19H,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
"Brokered by Robert DeFalco Realty, Inc.",House for sale,689999,3,2,596 College Ave,"Staten Island, NY 10302",New York,Richmond County,Staten Island
Brokered by Winzone Realty Inc,Co-op for sale,425000,3,2,58-03 Calloway St Unit 2P2,"Corona, NY 11368",New York,Queens County,Queens
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,10000000,5,4,166 E 64th St,"New York, NY 10065",New York,New York County,New York
Brokered by Byson Real Estate Company - Byson Real Estate Company,Co-op for sale,1525000,2,2,67 Riverside Dr Apt 1C,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6,2619 Shore Pkwy,"Brooklyn, NY 11223",New York,Kings County,Brooklyn
"Brokered by Robert DeFalco Realty, Inc.",House for sale,519000,3,2,62 Simmons Ln,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Queens Quality Management,Co-op for sale,358000,2,1,212-79 16 Ave Unit 183,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by COMPASS,Co-op for sale,975000,3,1,360 W 22nd St Apt 9J,"Manhattan, NY 10011",New York County,New York,Manhattan
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,29200000,12,10,123 E 35th St,"New York, NY 10016",New York,New York County,New York
Brokered by Pride Estates,Co-op for sale,498000,2,1,138 71st St Apt E10,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Laffey Real Estate,Co-op for sale,385000,1,2,1805 215th St Apt 4S,"Bayside, NY 11360",Queens County,Queens,Bayside
