BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by B Square Realty,Multi-family home for sale,1250000,5,2,86-08 57th Ave,"Elmhurst, NY 11373",New York,Queens County,Queens
Brokered by Coldwell Banker Reliable,House for sale,1099000,7,3,188 Conklin Ave,"Brooklyn, NY 11236",New York,Kings County,Brooklyn
Brokered by L ROSE REALTY INC,House for sale,1900000,4,2,13739 75th Rd,"Flushing, NY 11367",New York,Queens County,Queens
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,2500000,2,2,350 W 42nd St Ph D,"New York, NY 10036",New York,New York County,New York
Brokered by Century Homes Realty Group LLC,House for sale,1288000,3,3,9-22 119th St,"College Point, NY 11356",New York,Queens County,Queens
Brokered by Corcoran East Side,Co-op for sale,1150000,1,1,50 Central Park W Apt 10D,"New York, NY 10023",New York County,New York,Manhattan
Brokered by Charles Rutenberg Realty Inc,Condo for sale,825000,3,2,63-14 Queens Blvd Unit 3L,"Woodside, NY 11377",Queens County,Queens,Flushing
Brokered by Corcoran Park Slope,Townhouse for sale,4195000,5,4,445 Waverly Ave,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by RE MAX Edge,Pending,675000,3,2,46 Coddington Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,875000,2,1,1437 Hancock St # B,"Brooklyn, NY 11237",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 936 Broadway,Co-op for sale,297000,1,1,261 Bay 19th St Unit B,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by P R O Links Realty Inc,Condo for sale,485000,1,1,62-96 Woodhaven Blvd Unit 5R,"Rego Park, NY 11374",Queens County,Queens,Middle Village
Brokered by Re/Max In The City,Co-op for sale,230000,2,1,6200 Riverdale Ave Apt 4H,"Bronx, NY 10471",Bronx County,The Bronx,North Riverdale
Brokered by Budget Real Estate Nyc Inc,House for sale,629000,4,2,1281 E 223rd St,"Bronx, NY 10466",New York,Bronx County,The Bronx
"Brokered by BEN BAY REALTY, CO.",Pending,625000,3,2,108 Howton Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by Charles Rutenberg Realty Inc,Multi-family home for sale,1200000,5,2,591 Huguenot Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Douglas Elliman  -111 Fifth Ave,Townhouse for sale,7550000,5,5,48 Charles St,"New York, NY 10014",New York,New York County,New York
Brokered by COMPASS,Pending,499000,2,2,7272 Royce Pl Unit G1-9,"Brooklyn, NY 11234",Kings County,Brooklyn,Bergen Beach
Brokered by RE MAX Real Estate Professionals,Pending,485000,3,2,2652 Cropsey Ave Apt 14H,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by Chous Realty Group Inc,Co-op for sale,299000,1,1,144-44 41st Ave Unit 6A,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Donna Demkowicz R E Corp,Multi-family home for sale,2200000,6,6,6402 Fresh Pond Rd,"Ridgewood, NY 11385",New York,Queens County,Queens
Brokered by Century Homes Realty Group LLC,Condo for sale,465000,2,2,104-21 39th Ave Unit 212D,"Corona, NY 11368",Queens County,Queens,Corona
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,278000,1,1,138-28 68th Dr Unit 1A,"Flushing, NY 11367",Queens County,Queens,Flushing
Brokered by Corcoran Park Slope,Pending,709000,3,3,1249 E 87th St,"Brooklyn, NY 11236",New York,Kings County,Brooklyn
Brokered by RE MAX 1st Choice,Condo for sale,685000,2,2,64-34 Grand Central Pkwy Unit 1B,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Corcoran West Side,Co-op for sale,4500000,2,2,65 Central Park W Apt 12B,"New York, NY 10023",New York County,New York,Manhattan
"Brokered by BEN BAY REALTY, CO.",Multi-family home for sale,779000,3,2,2369 Bragg St,"Brooklyn, NY 11229",New York,Kings County,Brooklyn
Brokered by Julia B. Fee Sotheby's International Realty,House for sale,640000,3,2,944 Duncan St,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by East Coast REALTORS Inc,Co-op for sale,449000,2,2,23-45 Bell Blvd Unit 2B,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by COMPASS,Co-op for sale,1100000,2,1,1209 8th Ave Apt 4R,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Citywide Deals,Condo for sale,1899000,3,2,105 Oceana Dr E Ph 1D,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Jadestone Development Realty Llc,House for sale,599900,3,2,3774 Hylan Blvd,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by Kaloshi Real Estate Inc,House for sale,739000,2,2,19 Alton Pl,"Brooklyn, NY 11210",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,7995000,3,4,101 W 67th St Ph 1D,"New York, NY 10023",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,1425000,2,2,124 Thompson St Unit 23/24,"Manhattan, NY 10012",New York County,New York,Manhattan
Brokered by Century Homes Realty Group LLC,Multi-family home for sale,749000,4,2,154-12 65th Ave,"Flushing, NY 11367",New York,Queens County,Queens
Brokered by Jamie & Connie Real Estate Grp,Condo for sale,548000,1,1,144-85 Roosevelt Ave Unit 5E,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,950000,1,1,323 E 53rd Street Ter Ste B,"New York, NY 10022",New York,New York County,New York
Brokered by Douglas Elliman - Huntington,Pending,399000,1,1,6939A Park Dr E Unit A,"Kew Garden Hills, NY 11367",New York,Queens County,Queens
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1460000,2,2,1060 Park Avenue Ave Unit 2G,"Manhattan, NY 10128",New York County,New York,Manhattan
Brokered by Showcase Realty Inc,Co-op for sale,269000,3,1,144-11 Sanford Ave Unit 6L,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Corcoran East Side,Condo for sale,1695000,1,2,70 Washington St Ph R,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,155000,3,1,1275 E 51st St Apt 5Z,"Brooklyn, NY 11234",Kings County,Brooklyn,Flatlands
Brokered by Compass Greater NY LLC,Co-op for sale,449000,2,1,261-36 Langston Ave Unit 2ND,"Glen Oaks, NY 11004",Queens County,Queens,Glen Oaks
Brokered by Corcoran Park Avenue South,Pending,825000,2,2,41-18 27th St Apt 1A,"New York, NY 11101",Queens County,Queens,Long Island City
Brokered by EXIT REALTY TOP PROPERTIES,Multi-family home for sale,938000,5,3,1838 Brown St,"Brooklyn, NY 11229",United States,New York,Kings County
"Brokered by Pamela Lee, Realtor",House for sale,690000,2,2,1060 E 52nd St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Serhant,Co-op for sale,795000,2,1,651 Vanderbilt St Apt 7K,"Brooklyn, NY 11218",Kings County,Brooklyn,Windsor Terrace
Brokered by J. Sikar Realty,Co-op for sale,300000,2,1,2620 Ocean Pkwy Apt 3F,"Brooklyn, NY 11235",Kings County,Brooklyn,Gravesend
Brokered by Corcoran East Side,Condo for sale,1100000,2,2,77 W 55th St # 2AK,"New York, NY 10019",New York County,New York,Manhattan
